permno,adate,qdate,public_date,bm,TICKER
10107,19990630,19990930,20000131,0.065,MSFT
10107,19990630,19991231,20000229,0.057,MSFT
10107,19990630,19991231,20000331,0.057,MSFT
10107,19990630,19991231,20000430,0.057,MSFT
10107,19990630,20000331,20000531,0.071,MSFT
10107,19990630,20000331,20000630,0.071,MSFT
10107,19990630,20000331,20000731,0.071,MSFT
10107,20000630,20000630,20000831,0.100,MSFT
10107,20000630,20000630,20000930,0.100,MSFT
10107,20000630,20000630,20001031,0.100,MSFT
10107,20000630,20000930,20001130,0.146,MSFT
10107,20000630,20000930,20001231,0.146,MSFT
10107,20000630,20000930,20010131,0.146,MSFT
10107,20000630,20001231,20010228,0.208,MSFT
10107,20000630,20001231,20010331,0.208,MSFT
10107,20000630,20001231,20010430,0.208,MSFT
10107,20000630,20010331,20010531,0.171,MSFT
10107,20000630,20010331,20010630,0.171,MSFT
10107,20000630,20010331,20010731,0.171,MSFT
10107,20010630,20010630,20010831,0.122,MSFT
10107,20010630,20010630,20010930,0.122,MSFT
10107,20010630,20010630,20011031,0.122,MSFT
10107,20010630,20010930,20011130,0.176,MSFT
10107,20010630,20010930,20011231,0.176,MSFT
10107,20010630,20010930,20020131,0.176,MSFT
10107,20010630,20011231,20020228,0.144,MSFT
10107,20010630,20011231,20020331,0.144,MSFT
10107,20010630,20011231,20020430,0.144,MSFT
10107,20010630,20020331,20020531,0.166,MSFT
10107,20010630,20020331,20020630,0.166,MSFT
10107,20010630,20020331,20020731,0.166,MSFT
10107,20020630,20020630,20020831,0.179,MSFT
10107,20020630,20020630,20020930,0.179,MSFT
10107,20020630,20020630,20021031,0.179,MSFT
10107,20020630,20020930,20021130,0.230,MSFT
10107,20020630,20020930,20021231,0.230,MSFT
10107,20020630,20020930,20030131,0.230,MSFT
10107,20020630,20021231,20030228,0.202,MSFT
10107,20020630,20021231,20030331,0.202,MSFT
10107,20020630,20021231,20030430,0.202,MSFT
10107,20020630,20030331,20030531,0.226,MSFT
10107,20020630,20030331,20030630,0.226,MSFT
10107,20020630,20030331,20030731,0.226,MSFT
10107,20030630,20030630,20030831,0.227,MSFT
10107,20030630,20030630,20030930,0.227,MSFT
10107,20030630,20030630,20031031,0.227,MSFT
10107,20030630,20030930,20031130,0.222,MSFT
10107,20030630,20030930,20031231,0.222,MSFT
10107,20030630,20030930,20040131,0.222,MSFT
10107,20030630,20031231,20040229,0.235,MSFT
10107,20030630,20031231,20040331,0.235,MSFT
10107,20030630,20031231,20040430,0.235,MSFT
10107,20030630,20040331,20040531,0.263,MSFT
10107,20030630,20040331,20040630,0.263,MSFT
10107,20030630,20040331,20040731,0.263,MSFT
10107,20040630,20040630,20040831,0.241,MSFT
10107,20040630,20040630,20040930,0.241,MSFT
10107,20040630,20040630,20041031,0.241,MSFT
10107,20040630,20040930,20041130,0.253,MSFT
10107,20040630,20040930,20041231,0.253,MSFT
10107,20040630,20040930,20050131,0.253,MSFT
10107,20040630,20041231,20050228,0.162,MSFT
10107,20040630,20041231,20050331,0.162,MSFT
10107,20040630,20041231,20050430,0.162,MSFT
10107,20040630,20050331,20050531,0.181,MSFT
10107,20040630,20050331,20050630,0.181,MSFT
10107,20040630,20050331,20050731,0.181,MSFT
10107,20050630,20050630,20050831,0.181,MSFT
10107,20050630,20050630,20050930,0.181,MSFT
10107,20050630,20050630,20051031,0.181,MSFT
10107,20050630,20050930,20051130,0.176,MSFT
10107,20050630,20050930,20051231,0.176,MSFT
10107,20050630,20050930,20060131,0.176,MSFT
10107,20050630,20051231,20060228,0.163,MSFT
10107,20050630,20051231,20060331,0.163,MSFT
10107,20050630,20051231,20060430,0.163,MSFT
10107,20050630,20060331,20060531,0.151,MSFT
10107,20050630,20060331,20060630,0.151,MSFT
10107,20050630,20060331,20060731,0.151,MSFT
10107,20060630,20060630,20060831,0.171,MSFT
10107,20060630,20060630,20060930,0.171,MSFT
10107,20060630,20060630,20061031,0.171,MSFT
10107,20060630,20060930,20061130,0.134,MSFT
10107,20060630,20060930,20061231,0.134,MSFT
10107,20060630,20060930,20070131,0.134,MSFT
10107,20060630,20061231,20070228,0.125,MSFT
10107,20060630,20061231,20070331,0.125,MSFT
10107,20060630,20061231,20070430,0.125,MSFT
